날짜,종가,시가,고가,저가,거래량,변동 %
2024.5.17,"3,154.03","3,121.71","3,154.03","3,116.90",383.92K,0.98%
2024.5.16,"3,123.45","3,127.18","3,137.75","3,116.16",362.76K,0.11%
2024.5.16,"3,123.45","3,127.18","3,137.75","3,116.16",362.76K,0.11%
2024.5.15,"3,119.92","3,141.25","3,142.52","3,117.93",317.12K,-0.84%
2024.5.15,"3,119.92","3,141.25","3,142.52","3,117.93",317.12K,-0.84%
2024.5.14,"3,146.29","3,148.85","3,155.64","3,137.66",340.51K,-0.06%
2024.5.14,"3,146.29","3,148.85","3,155.64","3,137.66",340.51K,-0.06%
2024.5.13,"3,148.17","3,139.48","3,157.37","3,126.17",393.14K,-0.20%
2024.5.13,"3,148.17","3,139.48","3,157.37","3,126.17",393.14K,-0.20%
2024.5.10,"3,154.55","3,158.59","3,163.14","3,137.15",38.43B,-0.03%
2024.5.10,"3,154.55","3,158.59","3,163.14","3,137.15",38.43B,-0.03%
2024.5.9,"3,155.43","3,128.16","3,158.29","3,128.16",356.14K,0.86%
2024.5.9,"3,155.43","3,128.16","3,158.29","3,128.16",356.14K,0.86%
2024.5.8,"3,128.48","3,141.49","3,144.99","3,126.17",33.40B,-0.61%
2024.5.8,"3,128.48","3,141.49","3,144.99","3,126.17",33.40B,-0.61%
2024.5.7,"3,147.74","3,139.66","3,151.22","3,133.69",37.91B,0.22%
2024.5.7,"3,147.74","3,139.66","3,151.22","3,133.69",37.91B,0.22%
2024.5.6,"3,140.72","3,132.51","3,142.38","3,126.77",45.07B,1.16%
2024.5.6,"3,140.72","3,132.51","3,142.38","3,126.77",45.07B,1.16%
2024.4.30,"3,104.82","3,110.16","3,123.29","3,104.29",44.02B,-0.26%
2024.4.30,"3,104.82","3,110.16","3,123.29","3,104.29",44.02B,-0.26%
2024.4.29,"3,113.04","3,086.68","3,119.69","3,080.59",50.69B,0.79%
2024.4.29,"3,113.04","3,086.68","3,119.69","3,080.59",50.69B,0.79%
2024.4.26,"3,088.64","3,054.98","3,092.43","3,054.98",43.94B,1.17%
2024.4.25,"3,052.90","3,037.93","3,060.26","3,034.65",29.23B,0.27%
2024.4.24,"3,044.82","3,029.40","3,045.64","3,019.12",30.53B,0.76%
2024.4.23,"3,021.98","3,038.61","3,044.94","3,016.52",32.56B,-0.74%
2024.4.22,"3,044.60","3,059.06","3,078.42","3,042.54",35.72B,-0.67%
2024.4.19,"3,065.26","3,060.30","3,080.32","3,055.06",37.55B,-0.29%
2024.4.18,"3,074.22","3,060.03","3,102.55","3,057.76",41.63B,0.09%
2024.4.17,"3,071.38","3,008.06","3,071.38","3,002.06",41.34B,2.14%
2024.4.16,"3,007.07","3,043.55","3,052.43","3,005.34",44.81B,-1.65%
